,Unnamed: 0,Unnamed: 0.1,id_name,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name
91,91,100,2443103-443103 (2013 WT67),True,667.6594134952,1492.931834393,1995-01-19 00:00:00.000000,1970-01-01 00:13:10.552500,Earth,13.6305303871,49069.909393474,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2443103,443103 (2013 WT67)
92,92,101,3283218-(2005 MF5),False,121.4940407996,271.6689340891,1995-01-19 00:00:00.000000,1970-01-01 00:13:10.533360,Earth,26.2349697378,94445.8910559763,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3283218,(2005 MF5)
93,93,102,3625335-(2013 BC70),False,40.2304579834,89.9580388169,1995-01-16 00:00:00.000000,1970-01-01 00:13:10.266780,Earth,18.6159784305,67017.5223496646,Near Earth asteroid orbits similar to that of 1221 Amor,3625335,(2013 BC70)
94,94,104,2002340-2340 Hathor (1976 UA),True,242.4124811008,542.0507863358,1995-01-16 00:00:00.000000,1970-01-01 00:13:10.238100,Earth,15.9597865749,57455.2316697415,Near Earth asteroid orbits similar to that of 2062 Aten,2002340,2340 Hathor (1976 UA)
95,95,106,54016993-(2020 JG1),False,16.8249962697,37.6218353801,1995-01-16 00:00:00.000000,1970-01-01 00:13:10.290360,Earth,9.1421510542,32911.7437951207,An asteroid orbit contained entirely within the orbit of the Eart,54016993,(2020 JG1)
96,96,107,3102762-(2002 AA29),False,40.2304579834,89.9580388169,1995-01-17 00:00:00.000000,1970-01-01 00:13:10.310760,Earth,12.9913363165,46768.8107394954,Near Earth asteroid orbits similar to that of 1221 Amor,3102762,(2002 AA29)
97,97,108,3956448-(2019 YP3),False,19.2555078188,43.0566244241,1995-01-17 00:00:00.000000,1970-01-01 00:13:10.355280,Earth,17.2344315811,62043.9536918491,Near Earth asteroid orbits similar to that of 1221 Amor,3956448,(2019 YP3)
98,98,110,2373579-373579 (2002 AW11),False,483.6764882185,1081.533506775,1995-01-21 00:00:00.000000,1970-01-01 00:13:10.674900,Earth,14.0998903803,50759.6053691574,Near Earth asteroid orbits similar to that of 1221 Amor,2373579,373579 (2002 AW11)
99,99,111,3843085-(2019 NG),False,36.6906137531,82.0427064882,1995-01-21 00:00:00.000000,1970-01-01 00:13:10.654860,Earth,7.532718152,27117.7853473052,Near Earth asteroid orbits similar to that of 1221 Amor,3843085,(2019 NG)
100,100,112,3788091-(2017 UR7),False,319.5618867213,714.5621017269,1995-01-22 00:00:00.000000,1970-01-01 00:13:10.759920,Earth,16.8844014801,60783.8453284741,An asteroid orbit contained entirely within the orbit of the Eart,3788091,(2017 UR7)
101,101,113,3794988-(2017 YZ1),True,221.0828103591,494.3561926196,1995-01-22 00:00:00.000000,1970-01-01 00:13:10.751640,Earth,11.6741465305,42026.9275099544,Near Earth asteroid orbits similar to that of 1221 Amor,3794988,(2017 YZ1)
102,102,114,2153315-153315 (2001 NH6),False,319.5618867213,714.5621017269,1995-01-22 00:00:00.000000,1970-01-01 00:13:10.787820,Earth,24.4218373587,87918.6144913344,Near Earth asteroid orbits similar to that of 1221 Amor,2153315,153315 (2001 NH6)
