,Unnamed: 0,id_name,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description
76,83,3740931-(2016 BA15),False,11.6025908209,25.9441817907,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.810000,earth,27.9092028908,100473.1304067126, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
77,84,3643994-(2013 LV28),False,461.9074602816,1032.8564805039,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.854940,earth,25.5080689974,91829.0483906022,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
78,85,2250680-250680 (2005 QC5),True,305.1792325939,682.4015094011,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.820140,earth,12.2268409668,44016.6274804832, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
79,86,3170204-(2003 YS17),True,127.2198785394,284.4722965033,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.797760,earth,7.7685401427,27966.7445137333, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
80,87,3401191-(2008 BP16),False,121.4940407996,271.6689340891,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.840840,earth,18.0991616726,65156.9820213503, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
81,89,3655395-(2013 YM2),False,19.2555078188,43.0566244241,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.826920,earth,11.9321657219,42955.7965988119, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
82,91,3893736-(2019 WD5),True,116.0259082094,259.4418179074,1995-01-11 00:00:00.000000,1970-01-01 00:13:09.794520,earth,14.2571658357,51325.7970085319, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
83,92,3837639-(2019 AT3),False,101.054341542,225.9643771094,1995-01-18 00:00:00.000000,1970-01-01 00:13:10.416720,earth,28.5824222435,102896.7200765568, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
84,93,3753133-(2016 JU24),False,506.4714588346,1132.5046106177,1995-01-18 00:00:00.000000,1970-01-01 00:13:10.440120,earth,16.4888463368,59359.8468124886, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
85,94,3837525-(2018 YK2),False,73.2073989347,163.696720474,1995-01-18 00:00:00.000000,1970-01-01 00:13:10.396200,earth,26.2464317638,94487.1543496955, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
